x,class
234.38278899534743,b
163.7917430214023,a
51.23393703610707,b
25.28261508433516,a
382.49485324416673,b
328.3756121545746,c
329.36864381232715,a
253.9602906499759,c
301.18461312556184,c
44.54547556772964,b
279.4454202372886,c
2.3130379496081876,a
68.24129814466245,c
209.03243157583796,c
82.66811334549013,b
179.7202113074844,b
216.5916528857133,c
334.5768199943377,a
178.6856026487644,c
416.6722776238397,a
264.0404135757783,c
246.9629026415503,a
345.8185675342769,c
125.70239174224118,a
153.39190949860082,b
301.80983897002284,b
221.45714227309537,b
0.8481851067991264,a
1.7698245161513748,a
184.33754098358258,b
26.880641018374785,a
125.61667633781676,a
85.20819418880305,a
253.72133027108228,a
214.93001983045434,c
383.3986410308783,b
391.26702709645724,b
107.30178750097514,c
46.95297032166518,a
10.755052547797462,c
115.28801291160279,c
137.00279601745936,c
285.80818380210627,b
480.5843352543929,b
304.2127211666455,a
84.50165439483115,c
383.68560877571383,c
484.3287314521548,a
54.72170528965148,b
117.0933063783251,a
188.6399866243082,a
172.81373376890747,c
122.52410539617536,b
395.0148090421849,b
97.8615297123882,c
437.976765887249,a
49.46750797999577,c
438.6050727908989,a
355.36062568552785,b
475.38704565137607,b
385.67008536762677,a
35.70152756218919,b
279.0519382253403,a
381.800686534699,b
129.63104786015606,c
136.15871922447437,c
39.6321034472652,c
482.20458248218563,b
273.71410792848036,c
403.67190162433263,b
375.56610786236087,c
335.22854280658385,b
205.469702204988,a
158.93927019416793,a
29.022671580559212,a
371.69479069034776,a
241.09408676648647,b
277.1943482994466,a
482.6016702825325,a
321.205828781942,b
276.8809095912185,a
216.90090960840274,b
241.5318068991546,b
40.53052726157463,c
430.2624902247782,a
282.00911997734994,c
82.68525846795738,c
203.66012024176965,a
312.9624330312658,c
401.7186692004645,b
408.59501374076774,a
406.04453043886735,c
242.19682775192152,b
184.97143410085937,b
437.5767510731888,c
280.4092761000628,a
206.65303055814667,c
22.780620130994244,b
414.1207872868155,a
352.92593646245234,b
96.45697921373397,b
192.44976302469018,b
300.5101350198599,c
292.4645079514154,c
74.67678501077907,c
496.4114409780646,a
294.5589232636277,b
210.40348877148546,c
362.7517836364532,c
201.4958212018979,c
89.71565916800856,c
350.62110021649664,c
68.99808200181634,b
415.4368034546659,c
281.8434403754348,b
499.4034453437628,c
381.28328629259136,c
214.76292048788926,a
168.72405678438662,b
159.89540844620225,a
490.38425505485276,c
77.90020844895041,a
123.16099599600162,c
469.45441144905016,a
30.24991328762089,b
223.76154304560248,a
10.163897954800216,b
200.24499785698407,b
163.02650824432436,a
497.37066650031664,a
340.30429618176413,a
421.17423271754984,b
498.45561206773266,c
433.97378935482544,c
406.8025900695063,a
288.58190822908557,a
83.36375486724279,c
480.3801869770805,c
176.63364372846806,b
311.32414182139394,c
370.5129856751142,c
360.02906213376235,b
190.6362237560571,b
157.57717778953995,b
364.6438800156029,a
16.759229483839178,a
240.09877473709452,c
332.01350118953224,a
173.74499986104442,b
447.33068234375116,c
248.72068458751906,b
484.2130487966538,a
275.71738671758885,a
98.1691414303456,c
144.3588509020956,a
72.81136443582503,c
283.6209482911082,c
157.23156662369698,b
354.9727973227704,c
275.04185505346004,b
156.8355216204697,a
209.30878918559742,b
23.473935119735444,a
304.7960303656146,c
453.1698599920337,a
270.02044749077334,a
489.848951270758,a
436.1315993027571,b
456.52835942465276,b
51.615665076601424,c
248.04615759462874,c
95.22414102351823,c
242.0788525481195,a
73.65380724843511,a
184.45035707532102,c
449.21602376320834,a
245.39527458758332,b
117.41159820940867,b
91.23715871205762,c
255.49008744411793,c
102.62354111695043,c
324.33008565555184,b
146.4969586146166,c
251.27379872437234,b
302.9767686960318,a
83.48382700160573,b
313.77186444978025,a
477.1077028954659,a
260.466925884756,c
154.99925057226716,a
342.271313787284,c
125.17281606334596,c
391.919547713415,a
429.98413506916904,b
76.93242986908477,a
242.83563595192103,a
142.6727403845628,c
165.83026102760485,c
171.49235323796574,c
112.33708765650175,a
479.98709558039855,c
347.1462003357735,c
179.49115023151518,c
148.1211721897623,b
113.83507861075614,c
277.3845436756075,c
392.7584952223231,a
405.1806201616113,b
377.67533549688414,b
184.50864406622642,c
418.65631539028465,b
41.185743121112615,c
483.8633388856526,c
293.71688934455545,b
212.1706763364346,a
140.9626077166077,a
275.59715530169024,a
289.02609387431653,a
230.00208398792492,a
369.8455628125001,a
446.68548414377324,a
77.08567941957295,a
141.41439838979252,b
426.1950037108285,a
258.0537260929408,b
446.9990481176022,b
294.5361291841275,a
50.60504810486022,c
235.045462540511,b
427.912383219456,c
227.32102658218923,b
438.0619578380398,a
334.42184109060685,b
191.56820616151228,c
166.1054443755639,b
302.7098132744354,b
231.45647548453064,c
123.37745048417497,b
110.25394207682405,c
172.1796789098703,a
376.9138217366792,c
159.51162566435767,c
424.36774973255547,c
269.81593830792065,b
187.49521802686647,b
413.08069005669574,b
161.9654216496071,b
306.20126762367437,c
189.53490845866332,a
412.78951367917807,b
72.49116957484297,b
244.0881857501757,c
251.58338247683122,a
332.307374818348,b
124.74789835402656,a
451.90616726801113,c
410.9600771362237,b
299.60241085131446,c
98.48342502616752,c
386.5780419182157,b
483.6493246231158,c
163.85986048428208,c
367.2495656774916,a
284.8220949842484,a
198.88803766216523,c
475.086817076099,a
408.4850238435651,c
213.36130838938922,b
446.10002077636733,a
47.369805975014,c
185.28717267721146,b
120.72318462639615,c
316.5279366006919,c
310.02421188179625,b
291.15875847332035,b
355.3185512977219,c
154.47293698093407,b
51.30891247408476,a
351.2915690579283,c
36.54714394769232,a
462.95851520450884,a
401.56042738648694,c
23.420440974003366,a
64.3505883170552,c
32.59879378590958,a
55.89397246197242,a
383.43526334734537,c
338.7612042572256,b
59.337677777298424,c
3.7011638688212445,a
270.289884791512,b
36.23444047802449,b
241.69200813511023,c
296.0161032798912,b
317.1948339039518,c
184.4284604403048,c
116.02718443768289,b
118.35086933034161,a
39.95757923878085,c
129.0445586118814,b
353.38327497071475,b
117.9459180999432,a
363.58429533372384,b
188.65718625304729,a
184.03366295453333,b
272.53407208657455,b
118.46517230933773,a
460.58194246490706,c
348.30138144264214,a
234.07295489868534,c
183.83833125111843,c
103.91529378234338,a
402.0292555082672,c
294.7034353460378,b
169.93147996681913,a
174.9688027897592,c
373.9699624092451,a
242.80740002180596,a
196.8884654331501,c
493.3535732369102,b
40.6270946823416,c
110.31357809369347,c
422.4458661281884,c
72.03919351394411,b
190.60115794203313,a
113.76153563968732,c
372.17514857224245,c
426.52926037812756,b
51.22832289662088,c
398.3493554886154,b
188.5890764954235,a
44.003657402852944,a
166.98327003561226,b
48.33523829102493,b
409.8144307500231,a
496.42967880711456,b
292.4691743363177,b
241.12857918920687,b
16.082989206687603,c
179.99452422810447,b
444.2426184998886,c
318.364926643659,c
19.115527187624547,b
46.04782897396176,b
280.47986876600544,a
405.20930878365715,a
374.3195249187137,c
471.6955851081911,c
166.99078643561705,a
139.52551207502518,b
186.34165291174583,b
380.27925129632325,a
58.96403782084686,a
304.75422169144974,b
481.0210081862878,a
371.4296822678327,b
116.452890044559,a
107.07055199133764,b
168.1793556493449,b
421.1695663184974,b
433.0622007431795,c
143.77866790111415,a
59.131889604733644,a
107.07302220659848,a
476.2527102063123,c
0.7005610475633861,a
492.2768296165978,b
125.76264132515136,a
178.55286206206057,c
440.9426606333361,a
35.441666708645904,c
166.06160605535618,b
26.57100224224146,c
357.3679573419684,c
116.36305954377185,c
127.9362147333995,b
358.14816944911064,b
38.9189059853659,a
139.53874263295617,c
2.2072298478902352,b
194.58982665392887,c
171.16118601282636,a
365.89925530183723,a
157.37218007057768,b
275.5382292025181,b
143.72514779853873,a
